idiom,% Lit.,Literalness,% Fig.,Familiarity,Mean Frequency,,Literal_highest_key_%,Literal_highest_value_%,Literal_highest_key_ness,Literal_highest_value_ness
green thumb,77.8,4.4,100,2.3,63,,slip through his fingers,94.7,slip through his fingers,3.1
hair stands on end,89.5,3.2,95.2,3.3,1825,,stab in the back,94.7,take a back seat,3.1
hard nut to crack,84.2,3.7,94.4,4,6596.7,,tie in knots,94.7,up the creek,3.1
have a ball,94.7,2.8,95.2,2.2,9096,,under the counter,94.7,ace in the hole,3.2
have a screw loose,94.7,3.2,94.4,2.5,6813,,up the creek without a  paddle,94.7,bone to pick,3.2
have all his marbles,89.5,3.3,100,2.9,3484.7,,card up his sleeve,94.4,eat like a horse,3.2
have his hands full,94.7,2.1,100,2.3,2792,,facts of life,94.4,get off the hook,3.2
have his hands tied,94.7,3.2,90.5,2.7,2734.5,,hit below the belt,94.4,go fly a kite,3.2
head above water,94.7,3.2,88.9,3.4,387.3,,on the nose,94.4,hair stands on end,3.2
hit below the belt,94.4,2.9,94.7,2.4,1181,,play with fire,94.4,have a screw loose,3.2
hit the ceiling,100,3.2,100,3.1,1527,,pull the rug out from  under,94.4,have his hands tied,3.2
hit the hay,78.9,3.8,94.4,2.7,1523,,see stars,94.4,head above water,3.2
hit the nail on the head,89.5,3.4,100,2.9,2692.8,,spill the beans,94.4,hit the ceiling,3.2
hit the road,78.9,3.3,94.4,2.3,1582.3,,take a back seat,94.4,if the shoe fits,3.2
hit the sack,94.7,3.1,94.4,2.1,1519.3,,up a tree,94.4,know enough to come  out of the rain,3.2
hit the spot,94.7,2.7,94.4,1.1,1535.7,,wear the pants,94.4,lay an egg,3.2
hold a candle to,77.8,3.7,89.5,3.2,12393.2,,ace in the hole,89.5,let off the hook,3.2
hold his horses,89.5,3.6,100,2.8,2388.7,,back against the wall,89.5,lose his head,3.2
hold his tongue,89.5,3.7,88.9,3.5,2400.3,,birthday suit,89.5,out of hand,3.2
hold the line,84.2,3,76.2,4.2,1634,,bite your tongue,89.5,scratch the surface,3.2
honeymoon is over,94.7,3.3,94.4,3.1,3782,,blow the whistle on,89.5,separate the men from the boys,3.2
hopped up,78.9,3.3,77.8,3.7,950,,buckle down,89.5,shoe on the other foot,3.2
if the shoe fits,94.7,3.2,94.4,2.6,1662,,burn out,89.5,skate on thin ice,3.2
in a fog,94.7,3.8,77.8,3.5,14867.7,,come down to earth,89.5,bend over backwards,3.3
in a nutshell,89.5,3.5,100,2.7,14859.3,,eat like a horse,89.5,clean slate,3.3
in black and white,84.2,2.6,94.4,3,12690.2,,end of the road,89.5,come clean,3.3
in deep water,105.6,2.6,100,2.2,7297.3,,fall down on the job,89.5,down the line,3.3
in hot water,100,3,100,2.3,7304.3,,foam at the mouth,89.5,eat like a bird,3.3
in the bag,100,2.6,94.4,1.9,8606,,get sacked,89.5,have all his marbles,3.3
in the doghouse,84.2,3.6,100,2.4,8592,,get the ball rolling,89.5,hit the road,3.3
keep his shirt on,100,3.1,88.9,3.1,3507.5,,give a hand,89.5,honeymoon is over,3.3
keep the ball rolling,94.7,3.3,100,2.6,1207,,hair stands on end,89.5,hopped up,3.3
kick himself,78.9,3.9,94.4,2.5,309.5,,have all his marbles,89.5,keep the ball rolling,3.3
kick in,84.2,3.5,77.8,2.6,10678.5,,hit the nail on the head,89.5,not the only fish in the sea,3.3
kick in the pants,89.5,3.6,83.3,2.9,6450.2,,hold his horses,89.5,pull out of a hat,3.3
kick the bucket,89.5,3.1,85.7,2.2,1486,,hold his tongue,89.5,throw up his hands,3.3
kick up his heels,88.9,4.2,100,3.1,2227,,in a nutshell,89.5,tie his hands,3.3
knock him off his feet,100,3.1,100,2.5,2110.6,,kick in the pants,89.5,tip the scales,3.3
know enough to come  out of the rain,84.2,3.2,76.2,3.4,8863,,kick the bucket,89.5,blow the whistle on,3.4
know which side his  bread is buttered on,89.5,4.3,77.8,4.2,3563,,know which side his  bread is buttered on,89.5,breathe down his neck,3.4
land on his feet,89.5,3.1,81,2.7,3559.7,,land on his feet,89.5,cover his tracks,3.4
last straw,88.9,3.5,94.7,2.2,345.5,,let off steam,89.5,dead duck,3.4
lay an egg,88.9,3.2,94.7,3.1,1299.3,,looking for a needle in  a haystack,89.5,dirty his hands,3.4
lay his cards on the  table,84.2,3.5,94.4,3.3,3085.2,,lose his shirt,89.5,get the ball rolling,3.4
leave a bad taste in his  mouth,100,2.5,89.5,3,7440.6,,not the only fish in the sea,89.5,give a buzz,3.4
leave no stone unturned,84.2,4.3,90.5,3.4,616,,out of circulation,89.5,go off the deep end,3.4
let his hair down,94.7,3.6,90.5,3.3,2106,,out on a limb,89.5,hit the nail on the head,3.4
let off steam,89.5,3,95.2,2.4,346.7,,reach for the sky,89.5,put that in your pipe and  smoke it,3.4
let off the hook,100,3.2,100,2.2,1365.7,,sing a different tune,89.5,reach for the sky,3.4
let the cat out of the bag,77.8,3.9,100,2.3,6832.3,,skate on thin ice,89.5,rub the wrong way,3.4
lick his chops,77.8,3.9,89.5,2.9,2333.3,,step on his toes,89.5,run into a brick wall,3.4
little frog in a big pond,84.2,4.1,77.8,3.9,7632.3,,tan his hide,89.5,scrape the bottom of the  barrel,3.4
look at the world with  rose colored glasses,79,4.2,95.2,4,2296.7,,throw coId water on,89.5,sit on his hands,3.4
looking for a needle in  a haystack,89.5,3,90.5,2.6,11070.3,,throw himself at her feet,89.5,swelled head,3.4
lose his grip,100,2.7,94.4,2.8,2358.3,,tip the scales,89.5,take the cake,3.4
lose his head,84.2,3.2,90.5,2.6,2493,,under his belt,89.5,twist his arm,3.4
lose his shirt,89.5,3.7,76.2,3.3,2360.7,,under his thumb,89.5,up a tree,3.4
make his ears burn,77.8,4.2,84.2,3.6,1951.5,,under the sun,89.5,way the wind blows,3.4
make his mouth water,100,2.7,94.4,2.1,2084,,up the creek,89.5,birthday suit,3.5
middle of the road,94.7,2.7,85.7,2.5,10290.2,,wet behind the ears,89.5,bring home the bacon,3.5
not the only fish in the sea,89.5,3.3,94.4,2.2,5242.4,,chicken feed,88.9,foam at the mouth,3.5
on cloud nine,77.8,4.1,100,2.1,2283.7,,cough up,88.9,get off on the wrong  foot,3.5
on the nose,94.4,2.9,94.7,1.6,3745.7,,cover his tracks,88.9,in a nutshell,3.5
on the other hand,94.7,3.1,100,1.3,3327.5,,dead duck,88.9,kick in,3.5
on the road,84.2,2.5,83.3,2.7,3791.3,,kick up his heels,88.9,last straw,3.5
on the rocks,100,2.6,94.4,2.8,3725.7,,last straw,88.9,lay his cards on the  table,3.5
on the town,84.2,3.6,100,2.2,3796.3,,lay an egg,88.9,paint the town,3.5
one foot in the grave,83.3,4.5,100,2.9,5834.2,,see the light of day,88.9,run circles around,3.5
open his eyes,100,2.4,90.5,2.8,2438.7,,separate the men from the boys,88.9,shake a leg,3.5
open the door,100,1.6,84.2,3.3,1688.7,,snake in the grass,88.9,spill the beans,3.5
out in left field,100,2.8,100,2,6047.7,,stir up a hornets nest,88.9,take his breath away,3.5
out in the cold,100,2.9,94.7,2.2,7010.7,,take his breath away,88.9,throw coId water on,3.5
out of circulation,89.5,3.1,94.4,3.1,12841,,tie his hands,88.9,under the sun,3.5
out of hand,94.7,3.2,94.4,1.5,12979.3,,tighten his belt,88.9,bark up the wrong tree,3.6
out of line,94.7,2.3,95.2,2.1,12935,,too big for his britches,88.9,bite off more than he  can chew,3.6
out on a limb,89.5,3.8,100,2.9,8020,,way the wind blows,88.9,coast is clear,3.6
over his head,94.7,2.5,100,1.8,2885.7,,ball of fire,84.2,come down to earth,3.6
over the hump,78.9,3.9,83.3,2.7,1891,,bury the hatchet,84.2,cut down to size,3.6
pain in the neck,100,2.3,100,1.6,6486.2,,chew the fat,84.2,give the shirt off  his back,3.6
paint the town,78.9,3.5,100,2.9,1561.3,,down his alley,84.2,hold his horses,3.6
play with fire,94.4,2.8,94.7,2.1,2558.7,,eat like a bird,84.2,in the doghouse,3.6
pound the pavement,84.2,4.1,77.8,3.4,1491.3,,fall by the wayside,84.2,kick in the pants,3.6
pull his leg,94.7,2.7,95.2,1.7,2368.7,,fish out of water,84.2,let his hair down,3.6
pull out of a hat,100,3.3,94.7,3.1,12370.2,,follow his nose,84.2,on the town,3.6
pull the rug out from  under,94.4,3.8,100,2.8,1945.2,,from the ground up,84.2,pull the wool over his  eyes,3.6
pull the wool over his  eyes,94.7,3.6,85.7,3,2121.5,,get his feet wet,84.2,rob the cradle,3.6
